,Sample Size,Model,Running Time,Input_Item,Recommended_Item,Metric,Training Time,Category_hit,designer_hit,exterior_color_hit
0,12236,,19.25931215286255,"[13, 'https://cdn.shopify.com/s/files/1/0384/0161/products/119187-1_20Louis_20Vuitton_20Pallas_20Shopper_20Monogram_20Can_2D_0002.jpg?v=1642084454']","[[4405, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165448-2_20Louis_20Vuitton_20Pallas_20Shopper_20Monogram_20Canvas_20and_20Calfskin_2D_0002.jpg?v=1660936920'], [136, 'https://cdn.shopify.com/s/files/1/0384/0161/products/121929-85_20Louis_20Vuitton_20Pallas_20Shopper_20Monogram_20Ca_2D_0002.jpg?v=1646666269'], [2338, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149416-1_20Louis_20Vuitton_20Pallas_20Tote_20Monogram_20Canvas_2D_0002.jpg?v=1653668430'], [2798, 'https://cdn.shopify.com/s/files/1/0384/0161/products/156356-12_20Louis_20Vuitton_20Shopper_20Monogram_20Etoile_2D_0002.jpg?v=1657897656'], [1827, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154698-1_20Louis_20Vuitton_20Rivoli_20Handbag_20Damier_20MM_2D_0002.jpg?v=1655488101'], [6294, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159406-1_20Louis_20Vuitton_20Papillon_20Trunk_20Bag_20Monogram_20Canvas_2D_0002.jpg?v=1659276932'], [6302, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154727-1_20Louis_20Vuitton_20LV_20Riverside_20Handbag_20Damier_2D_0002.jpg?v=1658499966'], [6315, 'https://cdn.shopify.com/s/files/1/0384/0161/products/161626-1_20Louis_20Vuitton_20Boite_20Chapeau_20Souple_20Bag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1658509537'], [6381, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135405-42_20Louis_20Vuitton_20Dauphine_20Shoulder_20Bag_20Reverse_20Monogram_20Canvas_20Mini_2D_0002.jpg?v=1654872047'], [6346, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159586-1_20Louis_20Vuitton_20LV_20Riverside_20Handbag_20Damier_2D_0002.jpg?v=1657902910']]",cosine,2.3658740520477295,0.7,1.0,0.9
1,12236,,27.551932334899902,"[13, 'https://cdn.shopify.com/s/files/1/0384/0161/products/119187-1_20Louis_20Vuitton_20Pallas_20Shopper_20Monogram_20Can_2D_0002.jpg?v=1642084454']","[[4642, 'https://cdn.shopify.com/s/files/1/0384/0161/products/164531-1_20Louis_20Vuitton_20Berkeley_20Handbag_20Damier_2D_0002.jpg?v=1661525763'], [4169, 'https://cdn.shopify.com/s/files/1/0384/0161/products/164968-2_20Louis_20Vuitton_20Nice_20Vanity_20Case_20Monogram_20Canvas_20BB_2D_0002.jpg?v=1660329942'], [1696, 'https://cdn.shopify.com/s/files/1/0384/0161/products/142641-10_20Louis_20Vuitton_20Alma_20Handbag_20Monogram_20Canvas_20BB_2D_0002.jpg?v=1655477680'], [4018, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159115-9_20Louis_20Vuitton_20Ursula_20Handbag_20Monogram_20Multicolor_2D_0002.jpg?v=1659733705'], [1, 'https://cdn.shopify.com/s/files/1/0384/0161/products/116252-2_20Louis_20Vuitton_20Doc_20Handbag_20Monogram_20Shine_2D_0002.jpg?v=1641223961'], [4012, 'https://cdn.shopify.com/s/files/1/0384/0161/products/164638-1_20Louis_20Vuitton_20Sully_20Handbag_20Monogram_20Canvas_20PM_2D_0002.jpg?v=1659732851'], [5429, 'https://cdn.shopify.com/s/files/1/0384/0161/products/170256-3_20Fendi_20Mon_20Tresor_20Bucket_20Bag_20Zucca_20Coated_20Canvas_20Small_2D_0002.jpg?v=1663353069'], [5831, 'https://cdn.shopify.com/s/files/1/0384/0161/products/173392-3_20Gucci_20Padlock_20Shoulder_20Bag_20Printed_20GG_20Coated_20Canvas_20Small_2D_0002.jpg?v=1663966576'], [5427, 'https://cdn.shopify.com/s/files/1/0384/0161/products/170256-1_20Gucci_20XL_20Tote_20Embroidered_20Printed_20GG_20Coated_20Canvas_20Medium_2D_0002.jpg?v=1663353058'], [1921, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137665-33_20Gucci_20Disney_20Donald_20Duck_20Convertible_20Tote_20Printed_20GG_20Coated_20Canvas_20Medium_2D_0002.jpg?v=1656080489']]",euclidean,1.686434030532837,0.2,0.6,0.8
2,12236,,37.91219425201416,"[13, 'https://cdn.shopify.com/s/files/1/0384/0161/products/119187-1_20Louis_20Vuitton_20Pallas_20Shopper_20Monogram_20Can_2D_0002.jpg?v=1642084454']","[[4642, 'https://cdn.shopify.com/s/files/1/0384/0161/products/164531-1_20Louis_20Vuitton_20Berkeley_20Handbag_20Damier_2D_0002.jpg?v=1661525763'], [4169, 'https://cdn.shopify.com/s/files/1/0384/0161/products/164968-2_20Louis_20Vuitton_20Nice_20Vanity_20Case_20Monogram_20Canvas_20BB_2D_0002.jpg?v=1660329942'], [828, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145884-2_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651851472'], [764, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143118-1_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651249465'], [876, 'https://cdn.shopify.com/s/files/1/0384/0161/products/146857-1_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651868065'], [852, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143926-2_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651853569'], [829, 'https://cdn.shopify.com/s/files/1/0384/0161/products/141922-6_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651851485'], [877, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143925-2_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651853545'], [106, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128977-4_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Ca_2D_0002.jpg?v=1646069625'], [783, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144376-1_20Louis_20Vuitton_20Estrela_20Handbag_20Monogram_20Canvas_20MM_2D_0002.jpg?v=1651260058']]",manhattan,1.7133798599243164,0.8,1.0,0.9
3,12236,,16.192590713500977,"[2380, 'https://cdn.shopify.com/s/files/1/0384/0161/products/146403-1_20Chanel_20Timeless_20CC_20Soft_20Tote_20Caviar_20Medium_2D_0002.jpg?v=1652468801']","[[5274, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143264-1_20Chanel_20Timeless_20CC_20Soft_20Tote_20Caviar_20Medium_2D_0002.jpg?v=1651853713'], [6330, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159383-3_20Chanel_20Grand_20Shopping_20Tote_20Quilted_20Caviar_2D_0002.jpg?v=1658507724'], [3796, 'https://cdn.shopify.com/s/files/1/0384/0161/products/153141-1_20Chanel_20Timeless_20CC_20Soft_20Tote_20Caviar_20Medium_2D_0002.jpg?v=1654889722'], [5119, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143882-1_20Chanel_20Shopping_20Tote_20Quilted_20Calfskin_20Medium_2D_0002.jpg?v=1651861189'], [11965, 'https://cdn.shopify.com/s/files/1/0384/0161/products/142641-70_20Chanel_20Boy_20Flap_20Bag_20Chevron_20Caviar_20Old_20Medium_2D_0002.jpg?v=1654282461'], [4461, 'https://cdn.shopify.com/s/files/1/0384/0161/products/163106-47_20Chanel_20CC_20Pocket_20Hobo_20Quilted_20Caviar_20Medium_2D_0002.jpg?v=1660940296'], [4984, 'https://cdn.shopify.com/s/files/1/0384/0161/products/157239-1_20Chanel_20Grand_20Shopping_20Tote_20Quilted_20Caviar_2D_0002.jpg?v=1656088329'], [12020, 'https://cdn.shopify.com/s/files/1/0384/0161/products/131778-59_20Chanel_20Boy_20Flap_20Bag_20Quilted_20Lambskin_20Old_20Medium_2D_0002.jpg?v=1651856646'], [11493, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128134-1_20Chanel_20Boy_20Flap_20Bag_20Quilted_20Caviar_20Old_20Me_2D_0002.jpg?v=1647283040'], [11852, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149672-1_20Chanel_20Boy_20Flap_20Bag_20Chevron_20Caviar_20and_20Calfskin_20Old_20Medium_2D_0002.jpg?v=1653074715']]",cosine,1.7314727306365967,0.6,1.0,0.5
4,12236,,24.557492971420288,"[2380, 'https://cdn.shopify.com/s/files/1/0384/0161/products/146403-1_20Chanel_20Timeless_20CC_20Soft_20Tote_20Caviar_20Medium_2D_0002.jpg?v=1652468801']","[[3941, 'https://cdn.shopify.com/s/files/1/0384/0161/products/157503-1_20Balenciaga_20Logo_20Strap_20City_20Classic_20Studs_20Bag_20Leather_20Small_2D_0002.jpg?v=1659727096'], [2426, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126635-103_20Louis_20Vuitton_20Avenue_20Backpack_20Damier_20In_2D_0002.jpg?v=1650902459'], [6026, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166463-5_20Chanel_20Round_20Clutch_20with_20Chain_20Stitched_20Lambskin_20Mini_2D_0002.jpg?v=1664564875'], [1258, 'https://cdn.shopify.com/s/files/1/0384/0161/products/121991-37_20Chanel_20Wallet_20on_20Chain_20Camellia_20Lambskin_2D_0002.jpg?v=1647281106'], [5942, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166463-6_20Chanel_20Timeless_20Wallet_20on_20Chain_20Caviar_2D_0002.jpg?v=1664560685'], [5774, 'https://cdn.shopify.com/s/files/1/0384/0161/products/172866-1_20Chanel_20Timeless_20Wallet_20on_20Chain_20Caviar_2D_0002.jpg?v=1663962506'], [2381, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135991-40_20Chanel_20Vintage_20CC_20Drawstring_20Bucket_20Bag_20Lambskin_20Small_2D_0002.jpg?v=1652455342'], [3258, 'https://cdn.shopify.com/s/files/1/0384/0161/products/156356-154_20Louis_20Vuitton_20Scala_20Pouch_20Bag_20Mahina_20Leather_20Mini_2D_0002.jpg?v=1658505929'], [2180, 'https://cdn.shopify.com/s/files/1/0384/0161/products/155612-1_20Christian_20Dior_20Lady_20Dior_20Bag_20Cannage_20Quilt_20Lambskin_20Large_2D_0002.jpg?v=1656690987'], [1308, 'https://cdn.shopify.com/s/files/1/0384/0161/products/114722-187_20Christian_20Dior_20Diorama_20Flap_20Bag_20Patent_20Medium_2D_0002.jpg?v=1644011044']]",euclidean,1.688608169555664,0.1,0.5,0.3
5,12236,,34.78882884979248,"[2380, 'https://cdn.shopify.com/s/files/1/0384/0161/products/146403-1_20Chanel_20Timeless_20CC_20Soft_20Tote_20Caviar_20Medium_2D_0002.jpg?v=1652468801']","[[2426, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126635-103_20Louis_20Vuitton_20Avenue_20Backpack_20Damier_20In_2D_0002.jpg?v=1650902459'], [3941, 'https://cdn.shopify.com/s/files/1/0384/0161/products/157503-1_20Balenciaga_20Logo_20Strap_20City_20Classic_20Studs_20Bag_20Leather_20Small_2D_0002.jpg?v=1659727096'], [6026, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166463-5_20Chanel_20Round_20Clutch_20with_20Chain_20Stitched_20Lambskin_20Mini_2D_0002.jpg?v=1664564875'], [5942, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166463-6_20Chanel_20Timeless_20Wallet_20on_20Chain_20Caviar_2D_0002.jpg?v=1664560685'], [1258, 'https://cdn.shopify.com/s/files/1/0384/0161/products/121991-37_20Chanel_20Wallet_20on_20Chain_20Camellia_20Lambskin_2D_0002.jpg?v=1647281106'], [1429, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145232-274_20Chanel_20Street_20Allure_20Waist_20Bag_20Quilted_20Tweed_2D_0002.jpg?v=1654286822'], [5774, 'https://cdn.shopify.com/s/files/1/0384/0161/products/172866-1_20Chanel_20Timeless_20Wallet_20on_20Chain_20Caviar_2D_0002.jpg?v=1663962506'], [3258, 'https://cdn.shopify.com/s/files/1/0384/0161/products/156356-154_20Louis_20Vuitton_20Scala_20Pouch_20Bag_20Mahina_20Leather_20Mini_2D_0002.jpg?v=1658505929'], [2381, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135991-40_20Chanel_20Vintage_20CC_20Drawstring_20Bucket_20Bag_20Lambskin_20Small_2D_0002.jpg?v=1652455342'], [2180, 'https://cdn.shopify.com/s/files/1/0384/0161/products/155612-1_20Christian_20Dior_20Lady_20Dior_20Bag_20Cannage_20Quilt_20Lambskin_20Large_2D_0002.jpg?v=1656690987']]",manhattan,1.738157033920288,0.1,0.6,0.3
6,12236,,16.674423933029175,"[1627, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137664-74_20Louis_20Vuitton_20Sofia_20Coppola_20SC_20Bag_20Leather_20BB_2D_0002.jpg?v=1654888048']","[[5051, 'https://cdn.shopify.com/s/files/1/0384/0161/products/138633-245_20Louis_20Vuitton_20W_20Tote_20Veau_20Cachemire_20Calfskin_20BB_2D_0002.jpg?v=1654879585'], [11946, 'https://cdn.shopify.com/s/files/1/0384/0161/products/147119-1_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Limited_20Edition_20Supreme_20Epi_20Leather_2055_2D_0002.jpg?v=1654278795'], [12181, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144848-4_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Jumbo_2D_0002.jpg?v=1655483624'], [12189, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143795-89_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Limited_20Edition_20Supreme_20Epi_20Leather_2045_2D_0002.jpg?v=1655484133'], [11730, 'https://cdn.shopify.com/s/files/1/0384/0161/products/140412-1_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Limited_20Edition_20Supreme_20Epi_20Leather_2045_2D_0002.jpg?v=1651859446'], [12074, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145429-380_20Chanel_20Vintage_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Medium_2D_0002.jpg?v=1654880826'], [11403, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117485-177_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Limited_20Edition_20Supreme_20Epi_20Leather_2045_2D_0002.jpg?v=1645113531'], [11531, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117485-2_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Lim_2D_0002.jpg?v=1645113508'], [12097, 'https://cdn.shopify.com/s/files/1/0384/0161/products/152059-1_20Louis_20Vuitton_20Petite_20Malle_20Handbag_20Python_2D_0002.jpg?v=1654884788'], [11741, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143394-1_20Louis_20Vuitton_20Petite_20Malle_20Handbag_20Python_2D_0002.jpg?v=1651859842']]",cosine,1.7306952476501465,0.0,0.8,0.0
7,12236,,24.834280014038086,"[1627, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137664-74_20Louis_20Vuitton_20Sofia_20Coppola_20SC_20Bag_20Leather_20BB_2D_0002.jpg?v=1654888048']","[[3354, 'https://cdn.shopify.com/s/files/1/0384/0161/products/125155-1_20Louis_20Vuitton_20Mazarine_20Handbag_20Monogram_20Empreinte_20Leather_20PM_2D_0002.jpg?v=1644528980'], [2058, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143272-32_20Chanel_20CC_20Bowler_20Bag_20Caviar_20Medium_2D_0002.jpg?v=1656094161'], [545, 'https://cdn.shopify.com/s/files/1/0384/0161/products/122640-7_20Louis_20Vuitton_20Twist_20Handbag_20Epi_20Leather_20M_2D_0002.jpg?v=1643908685'], [6167, 'https://cdn.shopify.com/s/files/1/0384/0161/products/151348-52_20Saint_20Laurent_20Men_s_20Motorcycle_20Jacket_20Leather_2D_0002.jpg?v=1658151255'], [6136, 'https://cdn.shopify.com/s/files/1/0384/0161/products/174575-1_20Goyard_20Saint_20Louis_20Tote_20Coated_20Canvas_20GM_2D_0002.jpg?v=1664572106'], [3621, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154038-156_20Chanel_20La_20Pausa_20Bay_20Camera_20Case_20Bag_20Printed_20Canvas_20Small_2D_0002.jpg?v=1659285128'], [1602, 'https://cdn.shopify.com/s/files/1/0384/0161/products/150526-1_20Saint_20Laurent_20Sac_20de_20Jour_20NM_20Bag_20Leather_2D_0002.jpg?v=1654884013'], [4228, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165660-1_20Tiffany_20_26_20Co._20Atlas_20Hoop_20Earrings_2018K_20Whi_2D_0002.jpg?v=1660337144'], [1485, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137665-100_20Bottega_20Veneta_20Cassette_20Messenger_20Bag_20Maxi_20Intrecciato_20Paper_20Calfskin_2D_0002.jpg?v=1654872584'], [908, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145153-1_20Saint_20Laurent_20Sac_20de_20Jour_20NM_20Bag_20Crocodile_20Embossed_20Leather_20Baby_2D_0002.jpg?v=1652458220']]",euclidean,1.6450796127319336,0.1,0.2,0.0
8,12236,,35.355618953704834,"[1627, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137664-74_20Louis_20Vuitton_20Sofia_20Coppola_20SC_20Bag_20Leather_20BB_2D_0002.jpg?v=1654888048']","[[3354, 'https://cdn.shopify.com/s/files/1/0384/0161/products/125155-1_20Louis_20Vuitton_20Mazarine_20Handbag_20Monogram_20Empreinte_20Leather_20PM_2D_0002.jpg?v=1644528980'], [2058, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143272-32_20Chanel_20CC_20Bowler_20Bag_20Caviar_20Medium_2D_0002.jpg?v=1656094161'], [545, 'https://cdn.shopify.com/s/files/1/0384/0161/products/122640-7_20Louis_20Vuitton_20Twist_20Handbag_20Epi_20Leather_20M_2D_0002.jpg?v=1643908685'], [6136, 'https://cdn.shopify.com/s/files/1/0384/0161/products/174575-1_20Goyard_20Saint_20Louis_20Tote_20Coated_20Canvas_20GM_2D_0002.jpg?v=1664572106'], [1602, 'https://cdn.shopify.com/s/files/1/0384/0161/products/150526-1_20Saint_20Laurent_20Sac_20de_20Jour_20NM_20Bag_20Leather_2D_0002.jpg?v=1654884013'], [908, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145153-1_20Saint_20Laurent_20Sac_20de_20Jour_20NM_20Bag_20Crocodile_20Embossed_20Leather_20Baby_2D_0002.jpg?v=1652458220'], [4228, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165660-1_20Tiffany_20_26_20Co._20Atlas_20Hoop_20Earrings_2018K_20Whi_2D_0002.jpg?v=1660337144'], [6167, 'https://cdn.shopify.com/s/files/1/0384/0161/products/151348-52_20Saint_20Laurent_20Men_s_20Motorcycle_20Jacket_20Leather_2D_0002.jpg?v=1658151255'], [3621, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154038-156_20Chanel_20La_20Pausa_20Bay_20Camera_20Case_20Bag_20Printed_20Canvas_20Small_2D_0002.jpg?v=1659285128'], [1485, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137665-100_20Bottega_20Veneta_20Cassette_20Messenger_20Bag_20Maxi_20Intrecciato_20Paper_20Calfskin_2D_0002.jpg?v=1654872584']]",manhattan,1.7927658557891846,0.1,0.2,0.0
9,12236,,16.12237286567688,"[6677, 'https://cdn.shopify.com/s/files/1/0384/0161/products/81959-35_20Bottega_20Veneta_20AirPods_20Case_20with_20Strap_20In_2D_0002.jpg?v=1623087261']","[[11197, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159680-236_20Bottega_20Veneta_20Maxi_20Cabat_20Bag_20Charm_20Intrecciato_20Nappa_2D_0002.jpg?v=1659289865'], [10730, 'https://cdn.shopify.com/s/files/1/0384/0161/products/169042-319_20Alexander_20McQueen_20Skull_20Envelope_20Clutch_20Leather_2D_0002.jpg?v=1663963449'], [10007, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166997-351_20Fendi_20Chaos_20Phone_20Case_20with_20Chain_20Leather_20and_20Metal_2D_0002.jpg?v=1662752507'], [10206, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166997-194_20Fendi_20FF_20Logo_20AirPods_20Case_20Snakeskin_20Embossed_20Leather_2D_0002.jpg?v=1663358186'], [7853, 'https://cdn.shopify.com/s/files/1/0384/0161/products/150488-1_20Prada_20AirPods_20Flap_20Case_20Saffiano_20Leather_2D_0002.jpg?v=1653680310'], [10166, 'https://cdn.shopify.com/s/files/1/0384/0161/products/170594-1_20Bottega_20Veneta_20Women_s_20Almond_20Pumps_20Leath_2D_0002.jpg?v=1663356408'], [10165, 'https://cdn.shopify.com/s/files/1/0384/0161/products/172027-1_20Loewe_20Heel_20Crossbody_20Bag_20Leather_20Mini_2D_0002.jpg?v=1663356401'], [11092, 'https://cdn.shopify.com/s/files/1/0384/0161/products/169067-1_20Bottega_20Veneta_20Women_s_20Squared_20Toe_20Heeled_2D_0002.jpg?v=1662139791'], [9989, 'https://cdn.shopify.com/s/files/1/0384/0161/products/169190-2_20Valentino_20Women_s_20Rockstud_20Heeled_20Sandals_20Leather_2D_0002.jpg?v=1662750823'], [10081, 'https://cdn.shopify.com/s/files/1/0384/0161/products/172240-1_20Bottega_20Veneta_20Wallet_20on_20Chain_20Intrecciato_20Nappa_2D_0002.jpg?v=1662756905']]",cosine,1.7084147930145264,0.3,0.4,0.5
