,Sample Size,Metric,Training Time,Running Time,Input_Item,Recommended_Item,Category,designer,exterior_color
0,12236,cosine,4.209014177322388,25.640427112579346,"[11530, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126656-126_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20E_2D_0002.jpg?v=1648479160']","[[12131, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137665-16_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20Eclipse_20Canvas_2D_0002.jpg?v=1655476338'], [6258, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165242-1_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20Eclipse_20Canvas_2D_0002.jpg?v=1660330333'], [12029, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137079-4_20Louis_20Vuitton_20Clutch_20Box_20Bag_20Absolute_20Black_20Coated_20Canvas_2D_0002.jpg?v=1654872215'], [11417, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117032-210_20Louis_20Vuitton_20Trunk_20Speedy_20Bag_20Monogram_2D_0002.jpg?v=1646060098'], [12128, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135405-27_20Louis_20Vuitton_20Christopher_20Backpack_20Monogram_20Taurillon_20Leather_20GM_2D_0002.jpg?v=1655475659'], [11534, 'https://cdn.shopify.com/s/files/1/0384/0161/products/132958-1_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Cro_2D_0002.jpg?v=1648480176'], [11751, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144795-1_20Chanel_20So_20Black_20Classic_20Double_20Flap_20Bag_20Quilted_20Lambskin_20Jumbo_2D_0002.jpg?v=1651861318'], [11645, 'https://cdn.shopify.com/s/files/1/0384/0161/products/138042-1_20Louis_20Vuitton_20Keepall_20Bandouliere_20Bag_20Ost_2D_0002.jpg?v=1650042888'], [11768, 'https://cdn.shopify.com/s/files/1/0384/0161/products/142273-1_20Chanel_20So_20Black_20Classic_20Double_20Flap_20Bag_20Quilted_20Lambskin_20Jumbo_2D_0002.jpg?v=1652456482'], [5778, 'https://cdn.shopify.com/s/files/1/0384/0161/products/172928-1_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20Eclipse_20Canvas_2D_0002.jpg?v=1663962785']]",0.7,0.8,0.8
1,12236,euclidean,2.1839230060577393,39.75208592414856,"[11530, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126656-126_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20E_2D_0002.jpg?v=1648479160']","[[11576, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-551_20Louis_20Vuitton_20Steamer_20Bag_20Monogram_20Taur_2D_0002.jpg?v=1649342488'], [11613, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-48_20Louis_20Vuitton_20Freedom_20Handbag_20Calfskin_2D_0002.jpg?v=1650902766'], [11424, 'https://cdn.shopify.com/s/files/1/0384/0161/products/118037-301_20Hermes_20Sac_20a_20Depeches_20Bag_20Ardennes_2038_2D_0002.jpg?v=1646063174'], [12215, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135991-4_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Edition_20Colored_20Monogram_20Giant_20GM_2D_0002.jpg?v=1655486738'], [11389, 'https://cdn.shopify.com/s/files/1/0384/0161/products/119892-1_20Tiffany_20_26_20Co._20Paper_20Flowers_20Cluster_20Penda_2D_0002.jpg?v=1642201158'], [11450, 'https://cdn.shopify.com/s/files/1/0384/0161/products/118037-73_20Christian_20Dior_20Lady_20Dior_20Bag_20Cannage_20Qui_2D_0002.jpg?v=1646075508'], [11692, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126635-318_20Hermes_20Evelyne_20Bag_20Gen_20III_20Epsom_20TGM_2D_0002.jpg?v=1651856426'], [11416, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117032-301_20Christian_20Dior_20Parisienne_20Bag_20Leather_20Medium_2D_0002.jpg?v=1646059771'], [11607, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-545_20Louis_20Vuitton_20Discovery_20Backpack_20Limite_2D_0002.jpg?v=1650897186'], [11793, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145898-1_20Christian_20Dior_20Ultra_20Matte_2030_20Montaigne_20Flap_20Bag_20Leather_2D_0002.jpg?v=1652470398']]",0.1,0.4,0.3
2,12236,manhattan,2.1828510761260986,54.922364950180054,"[11530, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126656-126_20Louis_20Vuitton_20Soft_20Trunk_20Bag_20Monogram_20E_2D_0002.jpg?v=1648479160']","[[11576, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-551_20Louis_20Vuitton_20Steamer_20Bag_20Monogram_20Taur_2D_0002.jpg?v=1649342488'], [11424, 'https://cdn.shopify.com/s/files/1/0384/0161/products/118037-301_20Hermes_20Sac_20a_20Depeches_20Bag_20Ardennes_2038_2D_0002.jpg?v=1646063174'], [11613, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-48_20Louis_20Vuitton_20Freedom_20Handbag_20Calfskin_2D_0002.jpg?v=1650902766'], [11389, 'https://cdn.shopify.com/s/files/1/0384/0161/products/119892-1_20Tiffany_20_26_20Co._20Paper_20Flowers_20Cluster_20Penda_2D_0002.jpg?v=1642201158'], [12215, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135991-4_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Edition_20Colored_20Monogram_20Giant_20GM_2D_0002.jpg?v=1655486738'], [11450, 'https://cdn.shopify.com/s/files/1/0384/0161/products/118037-73_20Christian_20Dior_20Lady_20Dior_20Bag_20Cannage_20Qui_2D_0002.jpg?v=1646075508'], [11692, 'https://cdn.shopify.com/s/files/1/0384/0161/products/126635-318_20Hermes_20Evelyne_20Bag_20Gen_20III_20Epsom_20TGM_2D_0002.jpg?v=1651856426'], [11607, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128385-545_20Louis_20Vuitton_20Discovery_20Backpack_20Limite_2D_0002.jpg?v=1650897186'], [11416, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117032-301_20Christian_20Dior_20Parisienne_20Bag_20Leather_20Medium_2D_0002.jpg?v=1646059771'], [11793, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145898-1_20Christian_20Dior_20Ultra_20Matte_2030_20Montaigne_20Flap_20Bag_20Leather_2D_0002.jpg?v=1652470398']]",0.1,0.4,0.3
3,12236,cosine,2.187037944793701,22.448338985443115,"[7624, 'https://cdn.shopify.com/s/files/1/0384/0161/products/103225-204_20Prada_20Pushlock_20Flap_20Crossbody_20Bag_20Quilt_2D_0002.jpg?v=1637698522']","[[11257, 'https://cdn.shopify.com/s/files/1/0384/0161/products/158674-2_20Prada_20Flat_20Messenger_20Bag_20Tessuto_20Medium_2D_0002.jpg?v=1657302708'], [10992, 'https://cdn.shopify.com/s/files/1/0384/0161/products/171730-6_20Prada_20Logo_20Bucket_20Hat_20Nylon_2D_0002.jpg?v=1664569072'], [8630, 'https://cdn.shopify.com/s/files/1/0384/0161/products/134762-1_20Prada_20Belted_20Hobo_20Tessuto_20with_20Leather_20Sm_2D_0002.jpg?v=1649954467'], [3837, 'https://cdn.shopify.com/s/files/1/0384/0161/products/143167-2_20Prada_20Re-Edition_202005_20Shoulder_20Bag_20Tessuto_20Small_2D_0002.jpg?v=1653066143'], [8035, 'https://cdn.shopify.com/s/files/1/0384/0161/products/129427-1_20Prada_20Front_20Pocket_20Messenger_20Bag_20Tessuto_20Medium_2D_0002.jpg?v=1646670110'], [9104, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117743-1_20Prada_20Hobo_20Tessuto_20Small_2D_0002.jpg?v=1640631722'], [11367, 'https://cdn.shopify.com/s/files/1/0384/0161/products/151860-1_20Prada_20Pushlock_20Chain_20Flap_20Bag_20Quilted_20Tessuto_20Mini_2D_0002.jpg?v=1656089402'], [10550, 'https://cdn.shopify.com/s/files/1/0384/0161/products/123983-1_20Prada_20Double_20Front_20Pocket_20Backpack_20Tessut_2D_0002.jpg?v=1645115504'], [11081, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145145-1_20Prada_20Logo_20Bucket_20Hat_20Re-Nylon_2D_0002.jpg?v=1651856351'], [11362, 'https://cdn.shopify.com/s/files/1/0384/0161/products/158056-1_20Prada_20Pushlock_20Chain_20Flap_20Bag_20Quilted_20Tessuto_20Mini_2D_0002.jpg?v=1656703510']]",0.5,1.0,0.5
4,12236,euclidean,2.2203798294067383,35.866934061050415,"[7624, 'https://cdn.shopify.com/s/files/1/0384/0161/products/103225-204_20Prada_20Pushlock_20Flap_20Crossbody_20Bag_20Quilt_2D_0002.jpg?v=1637698522']","[[8569, 'https://cdn.shopify.com/s/files/1/0384/0161/products/161062-1_20Prada_20Envelope_20Wallet_20Vitello_20Move_2D_0002.jpg?v=1659287591'], [7628, 'https://cdn.shopify.com/s/files/1/0384/0161/products/104676-7_20Prada_20Drawstring_20Backpack_20Tessuto_20Medium_2D_0002.jpg?v=1637164281'], [7637, 'https://cdn.shopify.com/s/files/1/0384/0161/products/96746-59_20Chanel_20Travel_20Line_20Waist_20Bag_20Printed_20Nylo_2D_0002.jpg?v=1635175638'], [7161, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144312-1_20Burberry_20TB_20Bucket_20Hat_20TB_20Monogram_20Nylon_2D_0002.jpg?v=1651862611'], [7831, 'https://cdn.shopify.com/s/files/1/0384/0161/products/155462-6_20David_20Yurman_20Cable_20Buckle_20Bracelet_20Sterli_2D_0002.jpg?v=1656701545'], [7621, 'https://cdn.shopify.com/s/files/1/0384/0161/products/112703-7_20Hermes_20Niloticus_20Eclat_20Ring_20Sterling_20Silv_2D_0002.jpg?v=1638823430'], [7299, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149071-1_20Salvatore_20Ferragamo_20Front_20Pocket_20Messenger_20Bag_20Gancini_20Embossed_20Leather_20Medium_2D_0002.jpg?v=1653669145'], [6939, 'https://cdn.shopify.com/s/files/1/0384/0161/products/123477-2_20Louis_20Vuitton_20Spiky_20Valentine_20Necklace_20Set_20Metal_20with_20Crystals_2D_0002.jpg?v=1643914622'], [7306, 'https://cdn.shopify.com/s/files/1/0384/0161/products/150004-2_20David_20Yurman_20Cable_20Classic_20Bracelet_20Sterl_2D_0002.jpg?v=1653673351'], [6947, 'https://cdn.shopify.com/s/files/1/0384/0161/products/120458-6_20Hermes_20Kelly_20Double_20Tour_20Bracelet_20Leather_2D_0002.jpg?v=1643648651']]",0.1,0.2,0.1
5,12236,manhattan,1.9562609195709229,49.7323100566864,"[7624, 'https://cdn.shopify.com/s/files/1/0384/0161/products/103225-204_20Prada_20Pushlock_20Flap_20Crossbody_20Bag_20Quilt_2D_0002.jpg?v=1637698522']","[[7628, 'https://cdn.shopify.com/s/files/1/0384/0161/products/104676-7_20Prada_20Drawstring_20Backpack_20Tessuto_20Medium_2D_0002.jpg?v=1637164281'], [8569, 'https://cdn.shopify.com/s/files/1/0384/0161/products/161062-1_20Prada_20Envelope_20Wallet_20Vitello_20Move_2D_0002.jpg?v=1659287591'], [7637, 'https://cdn.shopify.com/s/files/1/0384/0161/products/96746-59_20Chanel_20Travel_20Line_20Waist_20Bag_20Printed_20Nylo_2D_0002.jpg?v=1635175638'], [7025, 'https://cdn.shopify.com/s/files/1/0384/0161/products/141524-1_20Prada_20Travel_20Pouch_20Tessuto_20Medium_2D_0002.jpg?v=1650911733'], [7161, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144312-1_20Burberry_20TB_20Bucket_20Hat_20TB_20Monogram_20Nylon_2D_0002.jpg?v=1651862611'], [6947, 'https://cdn.shopify.com/s/files/1/0384/0161/products/120458-6_20Hermes_20Kelly_20Double_20Tour_20Bracelet_20Leather_2D_0002.jpg?v=1643648651'], [7299, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149071-1_20Salvatore_20Ferragamo_20Front_20Pocket_20Messenger_20Bag_20Gancini_20Embossed_20Leather_20Medium_2D_0002.jpg?v=1653669145'], [7306, 'https://cdn.shopify.com/s/files/1/0384/0161/products/150004-2_20David_20Yurman_20Cable_20Classic_20Bracelet_20Sterl_2D_0002.jpg?v=1653673351'], [8377, 'https://cdn.shopify.com/s/files/1/0384/0161/products/101365-58_20Fendi_20Octagon_20Zucca_20Cutout_20Bangle_20Bracel_2D_0002.jpg?v=1634581490'], [7630, 'https://cdn.shopify.com/s/files/1/0384/0161/products/86024-167_20Gucci_20Flap_20Crossbody_20Bag_20Printed_20Coated_2D_0002.jpg?v=1636988576']]",0.2,0.3,0.2
6,12236,cosine,2.075078010559082,21.883152961730957,"[6393, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144776-2_20Chanel_20Gabrielle_20Hobo_20Quilted_20Aged_20Calfskin_20Medium_2D_0002.jpg?v=1654286393']","[[5645, 'https://cdn.shopify.com/s/files/1/0384/0161/products/131868-1_20Chanel_20Gabrielle_20Hobo_20Quilted_20Aged_20Calfsk_2D_0002.jpg?v=1647285394'], [5629, 'https://cdn.shopify.com/s/files/1/0384/0161/products/117032-158_20Chanel_20Gabrielle_20Hobo_20Quilted_20Aged_20Calfskin_20Medium_2D_0002.jpg?v=1645119645'], [11947, 'https://cdn.shopify.com/s/files/1/0384/0161/products/147401-1_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Jumbo_2D_0002.jpg?v=1654278850'], [11949, 'https://cdn.shopify.com/s/files/1/0384/0161/products/148283-1_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Jumbo_2D_0002.jpg?v=1654279216'], [12175, 'https://cdn.shopify.com/s/files/1/0384/0161/products/153969-1_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Medium_2D_0002.jpg?v=1655482826'], [12135, 'https://cdn.shopify.com/s/files/1/0384/0161/products/141768-70_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Caviar_20Medium_2D_0002.jpg?v=1655476937'], [11952, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149632-1_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Ca_2D_0002.jpg?v=1654279990'], [11951, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149538-1_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Ca_2D_0002.jpg?v=1654279849'], [12119, 'https://cdn.shopify.com/s/files/1/0384/0161/products/129743-16_20Chanel_20Classic_20Double_20Flap_20Bag_20Quilted_20Lambskin_20Medium_2D_0002.jpg?v=1655475037'], [12060, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135993-11_20Hermes_20In_20and_20Out_20Birkin_20Bag_20Limited_20Edition_20Swift_20with_20Palladium_20Hardware_2025_2D_0002.jpg?v=1654878147']]",0.2,0.9,0.0
7,12236,euclidean,2.2182059288024902,35.129294872283936,"[6393, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144776-2_20Chanel_20Gabrielle_20Hobo_20Quilted_20Aged_20Calfskin_20Medium_2D_0002.jpg?v=1654286393']","[[5386, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166997-123_20Louis_20Vuitton_20Bagatelle_20Hobo_20Monogram_20Empreinte_20Leather_2D_0002.jpg?v=1663351370'], [4635, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145429-489_20Chopard_20Happy_203_20Diamonds_20Circle_20Pendant_20Necklace_2018K_20White_20Gold_20and_20Floating_20Diamonds_2D_0002.jpg?v=1661524290'], [6343, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137105-4_20Van_20Cleef_20_26_20Arpels_20Vintage_20Alhambra_20Ring_2D_0002.jpg?v=1657905759'], [6268, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165349-2_20Bvlgari_20Serpenti_20Viper_20Ring_2018K_20White_20Gol_2D_0002.jpg?v=1659740927'], [6336, 'https://cdn.shopify.com/s/files/1/0384/0161/products/156033-1_20Tiffany_20_26_20Co._20Metro_20Rose_20Cut_20Eternity_20Ban_2D_0002.jpg?v=1658145526'], [6332, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154659-62_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Edition_20Escale_20Monogram_20Giant_20GM_2D_0002.jpg?v=1658151230'], [5540, 'https://cdn.shopify.com/s/files/1/0384/0161/products/170940-3_20Fendi_20Peekaboo_20Utility_20Bag_20Leather_20Mini_2D_0002.jpg?v=1663361724'], [5892, 'https://cdn.shopify.com/s/files/1/0384/0161/products/130017-19_20Christian_20Dior_20Saddle_20Handbag_20Oblique_20Ca_2D_0002.jpg?v=1650059581'], [5611, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135816-2_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Editio_2D_0002.jpg?v=1648492599'], [6274, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159103-1_20Christian_20Dior_20Saddle_20Handbag_20Leather_20Mini_2D_0002.jpg?v=1659729161']]",0.1,0.0,0.0
8,12236,manhattan,2.1064610481262207,270.401043176651,"[6393, 'https://cdn.shopify.com/s/files/1/0384/0161/products/144776-2_20Chanel_20Gabrielle_20Hobo_20Quilted_20Aged_20Calfskin_20Medium_2D_0002.jpg?v=1654286393']","[[5386, 'https://cdn.shopify.com/s/files/1/0384/0161/products/166997-123_20Louis_20Vuitton_20Bagatelle_20Hobo_20Monogram_20Empreinte_20Leather_2D_0002.jpg?v=1663351370'], [4635, 'https://cdn.shopify.com/s/files/1/0384/0161/products/145429-489_20Chopard_20Happy_203_20Diamonds_20Circle_20Pendant_20Necklace_2018K_20White_20Gold_20and_20Floating_20Diamonds_2D_0002.jpg?v=1661524290'], [6332, 'https://cdn.shopify.com/s/files/1/0384/0161/products/154659-62_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Edition_20Escale_20Monogram_20Giant_20GM_2D_0002.jpg?v=1658151230'], [6268, 'https://cdn.shopify.com/s/files/1/0384/0161/products/165349-2_20Bvlgari_20Serpenti_20Viper_20Ring_2018K_20White_20Gol_2D_0002.jpg?v=1659740927'], [6336, 'https://cdn.shopify.com/s/files/1/0384/0161/products/156033-1_20Tiffany_20_26_20Co._20Metro_20Rose_20Cut_20Eternity_20Ban_2D_0002.jpg?v=1658145526'], [6343, 'https://cdn.shopify.com/s/files/1/0384/0161/products/137105-4_20Van_20Cleef_20_26_20Arpels_20Vintage_20Alhambra_20Ring_2D_0002.jpg?v=1657905759'], [5892, 'https://cdn.shopify.com/s/files/1/0384/0161/products/130017-19_20Christian_20Dior_20Saddle_20Handbag_20Oblique_20Ca_2D_0002.jpg?v=1650059581'], [6318, 'https://cdn.shopify.com/s/files/1/0384/0161/products/159107-1_20Bottega_20Veneta_20Arco_20Tote_20Maxi_20Intrecciato_20Leather_20Medium_2D_0002.jpg?v=1658513990'], [5540, 'https://cdn.shopify.com/s/files/1/0384/0161/products/170940-3_20Fendi_20Peekaboo_20Utility_20Bag_20Leather_20Mini_2D_0002.jpg?v=1663361724'], [6256, 'https://cdn.shopify.com/s/files/1/0384/0161/products/162751-108_20Louis_20Vuitton_20OnTheGo_20Tote_20Limited_20Edition_20Crafty_20Monogram_20Giant_20GM_2D_0002.jpg?v=1660334434']]",0.1,0.0,0.0
9,12236,cosine,2.4641690254211426,21.971652030944824,"[1631, 'https://cdn.shopify.com/s/files/1/0384/0161/products/146905-1_20Bottega_20Veneta_20Laptop_20Pouch_20Padded_20Maxi_20I_2D_0002.jpg?v=1654888712']","[[282, 'https://cdn.shopify.com/s/files/1/0384/0161/products/133256-1_20Bottega_20Veneta_20Laptop_20Pouch_20Padded_20Maxi_20I_2D_0002.jpg?v=1647879735'], [455, 'https://cdn.shopify.com/s/files/1/0384/0161/products/131774-1_20Bottega_20Veneta_20Laptop_20Pouch_20Padded_20Maxi_20I_2D_0002.jpg?v=1649347684'], [6356, 'https://cdn.shopify.com/s/files/1/0384/0161/products/140133-36_20Louis_20Vuitton_20Speedy_20Bandouliere_20Bag_20Monogram_20Shadow_20Leather_2040_2D_0002.jpg?v=1657893934'], [5579, 'https://cdn.shopify.com/s/files/1/0384/0161/products/142792-1_20Bottega_20Veneta_20Cassette_20Crossbody_20Bag_20Padded_20Maxi_20Intrecciato_20Leather_2D_0002.jpg?v=1650914670'], [5582, 'https://cdn.shopify.com/s/files/1/0384/0161/products/128379-81_20Louis_20Vuitton_20Discovery_20Backpack_20Monogra_2D_0002.jpg?v=1649950246'], [5043, 'https://cdn.shopify.com/s/files/1/0384/0161/products/148824-1_20Bottega_20Veneta_20The_20Chain_20Pouch_20Leather_2D_0002.jpg?v=1654875936'], [5038, 'https://cdn.shopify.com/s/files/1/0384/0161/products/141768-210_20Louis_20Vuitton_20Christopher_20Sling_20Bag_20Taurillon_20Leather_20XS_2D_0002.jpg?v=1654874511'], [5264, 'https://cdn.shopify.com/s/files/1/0384/0161/products/153216-4_20Bottega_20Veneta_20The_20Pouch_20Intrecciato_20Leather_2D_0002.jpg?v=1656689294'], [12128, 'https://cdn.shopify.com/s/files/1/0384/0161/products/135405-27_20Louis_20Vuitton_20Christopher_20Backpack_20Monogram_20Taurillon_20Leather_20GM_2D_0002.jpg?v=1655475659'], [12147, 'https://cdn.shopify.com/s/files/1/0384/0161/products/149050-1_20Bottega_20Veneta_20The_20Chain_20Pouch_20Leather_2D_0002.jpg?v=1655478755']]",0.2,0.6,1.0
